FavouriteID,CustomerID,RestaurantID,DateFavourited
6685498913498421,8751633372857918,7479512414652533,2018-02-19 04:52:12
1484515784981333,8751633372857918,9655428586791684,2015-04-03 09:42:00
3459165443759883,8751633372857918,7761297141342954,2019-10-27 03:28:46
1476678362398293,8751633372857918,6937596774693531,2014-11-12 04:56:56
3428255756723398,8751633372857918,7462325338625465,2019-01-21 10:23:47
6923552474342357,8751633372857918,6585992415167163,2014-08-16 14:56:41
8516354163939461,8751633372857918,8351847378922114,2015-06-07 09:06:14
4661797723239985,8751633372857918,1936615651895932,2018-01-17 22:50:01
3528597349057148,8751633372857918,9543993575263162,2016-09-18 21:36:57
6394828943641596,8751633372857918,8315578433114629,2015-09-02 03:35:10
5614426645199819,8751633372857918,1487658154336418,2016-09-03 14:27:24
8496991333611547,8751633372857918,6339834278487111,2019-08-30 19:02:15
2856357952647198,1561158965634848,9286377297568551,2018-09-20 14:51:10
4773738325249456,1561158965634848,2325554438997673,2018-12-01 07:17:07
2312339818166545,1561158965634848,8826637225178331,2018-03-16 10:40:36
9125876653882776,1561158965634848,9687598775823943,2019-05-28 05:48:55
9493765352444571,1561158965634848,8835474334285992,2018-01-17 23:17:11
6845739221871412,1561158965634848,7231491936253785,2018-12-22 05:49:15
5375582719218666,1561158965634848,1668844836753593,2018-04-18 03:57:47
6896959313845531,1561158965634848,9353871729626324,2019-10-09 20:49:42
5189911687272766,1561158965634848,3246672397349161,2018-03-14 19:21:18
4237859534369271,1561158965634848,4677972549918841,2018-12-16 03:23:45
2257748716594665,1561158965634848,5356257188382429,2018-02-18 00:47:17
8596996173181584,1721551953979878,8437971564364289,2018-02-04 00:31:46
8726654968215795,1721551953979878,1134814727428739,2016-09-20 08:20:54
1621871575873223,1721551953979878,9591773683984254,2016-04-18 06:38:32
2198542553349816,1721551953979878,1357332729648468,2017-12-21 05:50:57
6756528983444511,1721551953979878,3188487697296916,2017-12-07 22:20:40
6216128841869293,1721551953979878,3163197444367679,2016-11-07 04:00:50
4646137513377585,1721551953979878,5621735147845396,2019-01-17 08:45:48
8531927734614869,1721551953979878,1881466275474971,2016-07-14 03:21:10
2824935965934512,1721551953979878,9782699881672711,2017-11-05 17:27:02
8867426575564794,1721551953979878,5771579986898633,2017-05-10 14:36:24
9754673748525843,9743472211399813,6622245864487783,2019-04-23 20:07:39
5128277211946379,9743472211399813,3356239881746594,2019-09-02 16:45:48
6788658349429167,9743472211399813,1614555731338799,2019-11-11 12:45:38
1318778275934891,9743472211399813,8553432715464676,2019-06-08 01:38:06
7796231911329627,9743472211399813,4783268665748911,2019-08-12 01:47:31
8832287547494936,9743472211399813,9171851459247635,2019-09-15 13:00:15
9864486196332924,9743472211399813,7621979887842449,2019-08-18 14:57:04
8826395789621837,9743472211399813,2595187276438124,2019-08-25 14:14:06
1175461348552234,9743472211399813,2133684281287643,2019-05-03 15:59:14
2613115089776792,2749242817965845,1572323631174729,2019-12-12 15:21:02
8698538859713417,2749242817965845,9835122478636474,2018-04-29 04:09:02
4973822572378589,2749242817965845,5178599194621774,2018-09-26 03:36:43
5517273726261553,2749242817965845,3635623754896589,2018-04-26 22:41:15
7393869651973551,2749242817965845,1312428296954963,2019-02-14 18:51:37
2122437597315543,2749242817965845,7792896931187244,2017-06-01 07:18:40
6322167773355216,2749242817965845,9186195488154526,2019-11-23 03:48:42
7728784633536162,2749242817965845,5526821128135774,2017-03-26 11:32:38
4259538373374748,2749242817965845,1451128989759764,2017-06-29 06:37:00
3626761952853485,2749242817965845,8687617823795244,2018-08-29 17:12:19
5358711175786983,2749242817965845,3988817413753794,2019-08-08 22:46:14
